,UNIDADE,Nota_RAD,Media_Nota_RAD
0,Arcoverde,148.95433333333332,134.87560524924282
1,Caruaru,102.3709,134.87560524924282
2,ESEF,157.33683333333332,134.87560524924282
3,FCAP,105.39807894736842,134.87560524924282
4,FCM,109.42450617283951,134.87560524924282
5,FENSG,180.94789062499999,134.87560524924282
6,FOP,172.00338235294117,134.87560524924282
7,Garanhuns,126.88950588235295,134.87560524924282
8,ICB,120.4425,134.87560524924282
9,Mata Norte,143.72375,134.87560524924282
10,Mata Sul,109.46,134.87560524924282
11,POLI,103.48792635658914,134.87560524924282
12,Petrolina,134.42912857142855,134.87560524924282
13,Reitoria,140.34539285714285,134.87560524924282
14,Salgueiro,160.68666666666664,134.87560524924282
15,Serra Talhada,142.10888888888888,134.87560524924282
