,DOCENTE,UNIDADE,CARGO,VINCULO,STATUS,Nota_RAD,Ensino,Pesquisa,Extensão,Gestão
0,1,Garanhuns,Professor Adjunto,Em Exercício,Validada,109.83,40.77,28.35,2.58,38.13
2,3,Petrolina,Professor Adjunto,Em Exercício,Validada,48.84,31.21,15.55,2.08,0.0
3,4,Garanhuns,Professor Assistente,Em Exercício,Validada,70.79,12.3,2.83,3.15,52.51
4,5,ESEF,Professor Adjunto,Em Exercício,Validada,70.02,20.19,2.83,5.49,41.51
5,6,Reitoria,Professor Adjunto,Em Exercício,Validada,257.76,69.29,89.95,20.89,77.63
6,7,Mata Norte,Professor Adjunto,Em Exercício,Validada,70.64,37.38,30.22,1.06,1.98
7,8,ICB,Professor Assistente,Em Exercício,Validada,0.0,18.27,0.0,0.0,0.0
8,9,Garanhuns,Professor Adjunto,Em Exercício,Validada,31.62,20.68,10.94,0.0,0.0
9,10,Mata Norte,Professor Associado,Em Exercício,Validada,275.04,92.48,117.41,12.42,52.73
11,12,FENSG,Professor Associado,Em Exercício,Validada,444.19,198.84,89.3,57.43,98.62
12,13,ESEF,Professor Adjunto,Em Exercício,Validada,130.91,56.06,45.12,13.02,16.71
13,14,Caruaru,Professor Adjunto,Em Exercício,Validada,157.2,66.83,25.64,4.63,60.1
14,15,FOP,Professor Adjunto,Em Exercício,Validada,135.64,63.53,25.87,45.17,1.07
15,16,FCM,Professor Adjunto,Em Exercício,Validada,182.79,102.53,51.99,15.1,13.17
16,17,Arcoverde,Professor Adjunto,Em Exercício,Validada,55.3,38.29,6.92,0.0,10.09
17,18,ESEF,Professor Adjunto,Em Exercício,Validada,53.67,42.51,0.0,0.0,11.16
18,19,POLI,Professor Associado,Em Exercício,Validada,243.81,62.24,80.61,36.68,64.28
19,20,POLI,Professor Adjunto,Em Exercício,Validada,67.76,48.85,16.25,1.59,1.07
20,21,Petrolina,Professor Adjunto,Em Exercício,Validada,222.08,142.01,36.63,3.39,40.05
21,22,Garanhuns,Professor Adjunto,Em Exercício,Validada,32.79,19.06,7.79,3.8,2.14
24,25,Caruaru,Professor Adjunto,Em Exercício,Validada,102.62,17.55,11.11,15.53,58.43
25,26,FCM,Professor Adjunto,Em Exercício,Validada,29.41,27.81,0.53,0.0,1.07
26,27,FOP,Professor Adjunto,Em Exercício,Validada,90.29,37.05,2.4,50.84,0.0
27,28,POLI,Professor Associado,Em Exercício,Validada,100.1,50.66,5.03,0.53,43.88
28,29,Mata Norte,Professor Adjunto,Em Exercício,Validada,51.21,38.78,2.57,0.0,9.86
29,30,POLI,Professor Auxiliar,Em Exercício,Validada,18.07,17.0,0.0,0.0,1.07
30,31,Reitoria,Professor Associado,Em Exercício,Validada,193.61,98.09,93.38,0.0,2.14
31,32,FCAP,Professor Assistente,Em Exercício,Validada,79.93,34.75,3.76,0.0,41.42
32,33,FCM,Professor Assistente,Em Exercício,Validada,128.29,60.15,33.85,0.0,34.29
33,34,FENSG,Professor Assistente,Em Exercício,Validada,67.75,44.18,8.65,2.58,12.34
35,36,ICB,Professor Adjunto,Afastamento Parcial (5 meses),Validada,0.0,10.84,6.39,0.0,3.05
36,37,Mata Norte,Professor Assistente,Em Exercício,Validada,54.11,21.97,15.99,6.58,9.57
37,38,Petrolina,Professor Adjunto,Em Exercício,Validada,247.56,135.63,77.93,12.54,21.46
38,39,Mata Norte,Professor Adjunto,Em Exercício,Validada,78.39,32.97,35.41,3.11,6.9
39,40,Serra Talhada,Professor Assistente,Em Exercício,Validada,76.0,29.7,26.15,3.49,16.66
41,42,FOP,Professor Adjunto,Em Exercício,Validada,46.5,41.94,2.58,0.0,1.98
42,43,Garanhuns,Professor Adjunto,Em Exercício,Validada,165.05,65.07,71.58,6.45,21.95
43,44,Petrolina,Professor Associado,Em Exercício,Validada,255.82,99.88,137.71,0.0,18.23
44,45,Mata Sul,Professor Adjunto,Em Exercício,Validada,49.62,27.09,7.0,5.44,10.09
45,46,ICB,Professor Associado,Em Exercício,Validada,501.84,162.47,112.81,9.83,216.73
46,47,Petrolina,Professor Adjunto,Em Exercício,Validada,46.56,29.76,13.75,0.0,3.05
47,48,FOP,Professor Associado,Em Exercício,Validada,422.94,180.57,83.5,135.95,22.92
48,49,Mata Norte,Professor Adjunto,Em Exercício,Validada,192.03,93.33,35.36,15.52,47.82
49,50,Garanhuns,Professor Auxiliar,Em Exercício,Validada,70.25,46.62,0.0,10.83,12.8
50,51,Petrolina,Professor Adjunto,Em Exercício,Validada,103.61,42.97,6.15,0.0,54.49
52,53,Garanhuns,Professor Adjunto,Em Exercício,Validada,215.65,131.56,54.02,16.93,13.14
53,54,ICB,Professor Assistente,Em Exercício,Validada,109.65,44.43,14.03,7.09,44.1
54,55,Mata Norte,Professor Adjunto,Em Exercício,Validada,202.97,67.53,70.99,40.45,24.0
55,56,ESEF,Professor Adjunto,Em Exercício,Validada,63.51,34.41,19.2,5.39,4.51
56,57,FOP,Professor Associado,Em Exercício,Validada,178.09,57.62,43.07,55.85,21.55
57,58,Mata Norte,Professor Adjunto,Afastamento Total,Validada,6.5,,,,
58,59,ESEF,Professor Adjunto,Em Exercício,Validada,135.33,51.23,34.76,10.47,38.87
59,60,FENSG,Professor Adjunto,Afastamento Parcial (4 meses),Validada,198.84,61.95,53.51,9.89,23.78
60,61,Mata Norte,Professor Adjunto,Em Exercício,Validada,80.97,36.78,32.88,0.53,10.78
62,63,FENSG,Professor Adjunto,Em Exercício,Validada,177.63,84.06,55.02,9.45,29.1
64,65,POLI,Professor Adjunto,Em Exercício,Validada,263.29,50.49,137.11,5.72,69.97
65,66,FENSG,Professor Adjunto,Em Exercício,Validada,130.21,18.14,46.52,17.4,48.15
66,67,POLI,Professor Assistente,Em Exercício,Validada,50.48,38.96,4.67,6.85,0.0
67,68,FCAP,Professor Adjunto,Em Exercício,Validada,167.87,68.72,32.17,19.22,47.76
68,69,Petrolina,Professor Adjunto,Em Exercício,Validada,258.99,120.75,47.94,39.7,50.6
69,70,Caruaru,Professor Assistente,Em Exercício,Validada,35.61,27.68,0.0,2.81,5.12
70,71,FCM,Professor Adjunto,Em Exercício,Validada,104.88,44.79,54.11,5.98,0.0
71,72,POLI,Professor Assistente,Em Exercício,Validada,140.51,68.06,44.51,25.96,1.98
73,74,POLI,Professor Adjunto,Em Exercício,Validada,13.07,12.0,0.0,0.0,1.07
76,77,POLI,Professor Adjunto,Em Exercício,Validada,143.88,65.72,1.12,69.38,7.66
77,78,FCAP,Professor Adjunto,Afastamento Total,Validada,6.5,,,,
80,81,Petrolina,Professor Adjunto,Em Exercício,Validada,248.42,93.29,106.03,4.76,44.34
81,82,FCM,Professor Adjunto,Em Exercício,Validada,105.45,73.26,21.08,5.81,5.3
82,83,POLI,Professor Adjunto,Em Exercício,Validada,78.71,52.13,16.49,0.0,10.09
84,85,POLI,Professor Assistente,Em Exercício,Validada,101.8,47.84,19.67,0.0,34.29
85,86,POLI,Professor Assistente,Em Exercício,Validada,25.54,21.73,2.74,0.0,1.07
88,89,Garanhuns,Professor Adjunto,Em Exercício,Validada,96.62,38.9,1.71,0.0,56.01
89,90,Reitoria,Professor Adjunto,Em Exercício,Validada,79.74,20.73,14.26,0.53,44.22
91,92,POLI,Professor Adjunto,Em Exercício,Validada,45.15,44.08,0.0,0.0,1.07
92,93,POLI,Professor Assistente,Em Exercício,Validada,31.67,27.39,0.0,0.0,4.28
93,94,FCM,Professor Assistente,Em Exercício,Validada,19.07,18.0,0.0,0.0,1.07
94,95,FOP,Professor Associado,Em Exercício,Validada,209.04,84.74,68.37,31.83,24.1
95,96,FOP,Professor Titular,Em Exercício,Validada,251.03,142.78,86.28,8.06,13.91
96,97,FCM,Professor Adjunto,Em Exercício,Validada,69.31,45.97,14.09,4.22,5.03
97,98,POLI,Professor Assistente,Em Exercício,Validada,28.17,21.76,0.0,1.06,5.35
98,99,POLI,Professor Assistente,Em Exercício,Validada,52.1,47.82,0.0,0.0,4.28
99,100,Mata Norte,Professor Assistente,Em Exercício,Validada,102.23,41.87,17.83,7.17,35.36
100,101,FCM,Professor Associado,Em Exercício,Validada,198.93,98.89,62.07,0.0,37.97
101,102,ICB,Professor Adjunto,Em Exercício,Validada,185.3,98.86,37.08,32.51,16.85
102,103,Petrolina,Professor Assistente,Afastamento Total,Validada,6.5,,,,
103,104,Salgueiro,Professor Adjunto,Em Exercício,Validada,152.32,37.88,14.15,7.76,92.53
104,105,FOP,Professor Associado,Em Exercício,Validada,426.97,142.11,215.12,22.71,47.03
105,106,Mata Norte,Professor Adjunto,Em Exercício,Validada,137.84,79.07,55.56,0.0,3.21
106,107,FCAP,Professor Assistente,Em Exercício,Validada,0.0,33.04,0.0,0.0,0.0
108,109,FENSG,Professor Adjunto,Em Exercício,Validada,194.72,58.65,72.31,2.63,61.13
109,110,FENSG,Professor Associado,Em Exercício,Validada,359.42,156.68,87.76,38.25,76.73
110,111,ICB,Professor Adjunto,Em Exercício,Validada,167.72,64.97,28.94,22.03,51.78
111,112,POLI,Professor Adjunto,Em Exercício,Validada,220.2,104.68,68.55,21.18,25.79
112,113,Serra Talhada,Professor Adjunto,Em Exercício,Validada,85.8,21.34,3.72,25.38,35.36
113,114,Garanhuns,Professor Adjunto,Em Exercício,Validada,126.48,78.01,34.47,2.05,11.95
114,115,Reitoria,Professor Associado,Em Exercício,Validada,215.1,80.1,55.3,2.31,77.39
115,116,POLI,Professor Associado,Em Exercício,Validada,324.62,123.44,137.18,0.0,64.0
116,117,FCAP,Professor Adjunto,Em Exercício,Validada,159.42,40.21,56.47,51.58,11.16
117,118,Reitoria,Professor Associado,Em Exercício,Validada,274.71,104.89,101.77,2.37,65.68
118,119,Mata Norte,Professor Assistente,Em Exercício,Validada,85.19,34.65,5.27,0.0,45.27
119,120,Petrolina,Professor Adjunto,Em Exercício,Validada,88.77,34.54,1.71,13.72,38.8
120,121,FENSG,Professor Adjunto,Em Exercício,Validada,49.17,38.35,3.72,6.03,1.07
121,122,Mata Norte,Professor Associado,Em Exercício,Validada,419.77,145.13,137.27,12.92,124.45
122,123,Reitoria,Professor Adjunto,Em Exercício,Validada,220.35,90.2,78.07,10.46,41.62
123,124,FOP,Professor Adjunto,Em Exercício,Validada,180.09,91.53,24.91,0.0,63.65
124,125,Petrolina,Professor Assistente,Em Exercício,Validada,49.74,11.4,0.0,0.0,38.34
126,127,POLI,Professor Adjunto,Em Exercício,Validada,78.48,57.76,2.43,9.93,8.36
128,129,Garanhuns,Professor Adjunto,Em Exercício,Validada,81.47,30.64,16.05,13.72,21.06
129,130,POLI,Professor Assistente,Em Exercício,Validada,58.99,48.93,7.01,0.0,3.05
130,131,POLI,Professor Associado,Em Exercício,Validada,471.0,154.72,299.54,0.0,16.74
131,132,FENSG,Professor Auxiliar,Em Exercício,Validada,104.26,67.42,7.79,14.21,14.84
132,133,FOP,Professor Adjunto,Afastamento Parcial (2 meses),Validada,215.25,62.49,49.0,37.93,35.08
133,134,Arcoverde,Professor Adjunto,Em Exercício,Validada,276.79,77.04,103.85,2.31,93.59
134,135,POLI,Professor Adjunto,Afastamento Total,Validada,6.5,,,,
135,136,ICB,Professor Adjunto,Em Exercício,Validada,95.74,58.41,9.08,1.12,27.13
136,137,POLI,Professor Assistente,Em Readaptação,Validada,6.5,,,,
137,138,Reitoria,Professor Adjunto,Afastamento Total,Validada,6.5,,,,
138,139,Arcoverde,Professor Adjunto,Em Exercício,Validada,197.59,56.58,95.09,22.3,23.62
139,140,Petrolina,Professor Adjunto,Em Exercício,Validada,85.67,49.12,23.85,0.0,12.7
141,142,Petrolina,Professor Associado,Em Exercício,Validada,156.44,50.66,46.81,2.86,56.11
142,143,Reitoria,Professor Adjunto,Em Exercício,Validada,166.68,36.82,28.51,12.22,89.13
143,144,Petrolina,Professor Adjunto,Em Exercício,Validada,123.84,22.62,41.16,18.21,41.85
144,145,POLI,Professor Assistente,Em Exercício,Validada,66.16,33.24,8.01,0.0,24.91
145,146,Petrolina,Professor Adjunto,Em Exercício,Validada,265.89,104.11,149.23,5.93,6.62
146,147,Garanhuns,Professor Adjunto,Em Exercício,Validada,144.89,67.82,17.59,7.98,51.5
147,148,FENSG,Professor Adjunto,Em Exercício,Validada,169.49,46.47,44.43,16.12,62.47
150,151,Mata Norte,Professor Adjunto,Afastamento Total,Validada,6.5,,,,
151,152,Garanhuns,Professor Assistente,Em Exercício,Validada,33.2,32.08,1.12,0.0,0.0
152,153,Garanhuns,Professor Adjunto,Em Exercício,Validada,159.89,26.18,86.07,1.09,46.55
153,154,ICB,Professor Adjunto,Em Exercício,Validada,117.28,54.15,34.78,1.09,27.26
154,155,Mata Norte,Professor Associado,Em Exercício,Validada,138.79,68.52,48.67,0.0,21.6
155,156,POLI,Professor Auxiliar,Em Exercício,Validada,64.01,58.7,2.6,0.0,2.71
156,157,Garanhuns,Professor Adjunto,Em Exercício,Validada,387.04,179.92,119.64,8.2,79.28
160,161,Petrolina,Professor Associado,Em Exercício,Validada,265.73,99.33,137.79,17.81,10.8
161,162,Garanhuns,Professor Assistente,Em Exercício,Validada,39.81,22.46,8.62,0.0,8.73
162,163,Caruaru,Professor Adjunto,Em Exercício,Validada,99.85,17.59,38.95,0.0,43.31
163,164,Garanhuns,Professor Adjunto,Em Exercício,Validada,76.72,57.49,11.04,0.0,8.19
164,165,POLI,Professor Adjunto,Em Exercício,Validada,144.85,65.32,70.86,2.81,5.86
165,166,Garanhuns,Professor Adjunto,Em Exercício,Validada,190.79,110.8,54.64,0.0,25.35
166,167,ICB,Professor Adjunto,Em Exercício,Validada,279.91,87.79,130.51,4.91,56.7
167,168,Serra Talhada,Professor Auxiliar,Em Exercício,Validada,91.68,36.16,25.31,29.14,1.07
169,170,FENSG,Professor Adjunto,Em Exercício,Validada,300.91,150.13,116.4,23.22,11.16
170,171,FCM,Professor Associado,Em Exercício,Validada,233.34,59.23,99.0,12.69,62.42
171,172,FCM,Professor Adjunto,Em Exercício,Validada,105.19,97.3,7.1,0.0,0.79
172,173,Mata Norte,Professor Adjunto,Em Exercício,Validada,256.24,85.34,98.96,19.61,52.33
173,174,Garanhuns,Professor Adjunto,Em Exercício,Validada,153.06,85.56,33.76,6.68,27.06
174,175,POLI,Professor Adjunto,Em Exercício,Validada,174.6,44.32,55.63,8.37,66.28
175,176,Mata Norte,Professor Adjunto,Em Exercício,Validada,169.54,65.64,36.36,20.72,46.82
177,178,FCM,Professor Associado,Em Exercício,Validada,196.41,82.27,106.39,6.68,1.07
178,179,ESEF,Professor Adjunto,Em Exercício,Validada,218.25,56.87,56.98,16.44,87.96
179,180,Arcoverde,Professor Adjunto,Em Exercício,Validada,286.04,102.23,70.21,30.53,83.07
181,182,Garanhuns,Professor Assistente,Em Exercício,Validada,147.54,69.8,20.87,3.29,53.58
182,183,FENSG,Professor Assistente,Em Exercício,Validada,278.09,102.89,81.22,46.19,47.79
183,184,FOP,Professor Associado,Em Exercício,Validada,232.28,82.84,146.02,2.63,0.79
184,185,Petrolina,Professor Adjunto,Em Exercício,Validada,217.37,105.15,71.88,27.54,12.8
185,186,Petrolina,Professor Adjunto,Em Exercício,Validada,274.44,100.93,48.24,50.32,74.95
186,187,POLI,Professor Associado,Em Exercício,Validada,169.03,48.56,70.29,0.0,50.18
187,188,Petrolina,Professor Adjunto,Em Exercício,Rejeitada,44.32,32.96,0.0,2.8,8.56
189,190,FCM,Professor Adjunto,Em Exercício,Validada,115.94,31.91,12.5,2.05,69.48
190,191,Garanhuns,Professor Adjunto,Afastamento Parcial (5 meses),Validada,107.185,23.15,11.46,0.0,41.05
191,192,Reitoria,Professor Assistente,Em Readaptação,Validada,6.5,,,,
192,193,Mata Norte,Professor Adjunto,Em Exercício,Validada,260.87,77.72,86.72,9.6,86.83
193,194,POLI,Professor Adjunto,Em Exercício,Validada,0.0,6.0,0.0,0.53,1.07
194,195,Mata Norte,Professor Adjunto,Em Exercício,Validada,264.45,65.89,106.12,13.65,78.79
195,196,FENSG,Professor Auxiliar,Em Exercício,Validada,77.51,60.84,1.38,0.0,15.29
196,197,Petrolina,Professor Adjunto,Em Exercício,Validada,65.79,42.46,15.77,0.0,7.56
197,198,FENSG,Professor Assistente,Em Exercício,Validada,235.37,84.16,24.27,23.34,103.6
198,199,POLI,Professor Adjunto,Em Exercício,Validada,60.23,48.66,10.5,0.0,1.07
199,200,Petrolina,Professor Assistente,Afastamento Total,Validada,6.5,,,,
201,202,Mata Norte,Professor Auxiliar,Em Exercício,Validada,43.47,26.41,7.5,6.48,3.08
202,203,POLI,Professor Adjunto,Em Exercício,Validada,96.34,80.97,12.68,1.62,1.07
203,204,POLI,Professor Adjunto,Em Exercício,Validada,41.36,32.23,8.06,0.0,1.07
204,205,POLI,Professor Adjunto,Em Exercício,Validada,45.87,41.56,4.31,0.0,0.0
206,207,Arcoverde,Professor Adjunto,Em Exercício,Validada,89.48,35.39,44.97,4.94,4.18
207,208,FOP,Professor Adjunto,Em Exercício,Validada,101.55,59.86,0.0,0.0,41.69
209,210,POLI,Professor Associado,Em Exercício,Validada,311.01,147.18,157.35,6.48,0.0
210,211,FOP,Professor Adjunto,Em Exercício,Validada,184.82,66.0,65.68,30.24,22.9
211,212,ICB,Professor Adjunto,Em Exercício,Validada,136.76,66.35,42.35,12.39,15.67
213,214,POLI,Professor Adjunto,Em Exercício,Validada,48.11,39.07,7.97,0.0,1.07
214,215,FCM,Professor Adjunto,Em Exercício,Validada,113.11,84.35,8.48,14.06,6.22
215,216,Garanhuns,Professor Adjunto,Em Exercício,Validada,87.68,40.97,18.39,9.66,18.66
216,217,Mata Sul,Professor Adjunto,Em Exercício,Validada,256.28,102.33,79.0,40.42,34.53
217,218,FENSG,Professor Adjunto,Em Exercício,Validada,169.69,75.35,2.18,33.74,58.42
218,219,Caruaru,Professor Adjunto,Afastamento Parcial (4 meses),Validada,101.48,37.76,11.74,18.78,7.83
219,220,Garanhuns,Professor Adjunto,Em Exercício,Validada,145.86,24.64,9.58,7.37,104.27
220,221,FOP,Professor Associado,Em Exercício,Validada,351.13,137.67,43.19,57.18,113.09
221,222,FCAP,Professor Adjunto,Afastamento Total,Validada,6.5,,,,
222,223,FOP,Professor Associado,Em Exercício,Validada,185.29,93.7,46.5,0.0,45.09
223,224,FENSG,Professor Adjunto,Em Exercício,Validada,318.95,96.2,155.11,16.08,51.56
224,225,POLI,Professor Adjunto,Em Exercício,Validada,96.31,23.72,5.46,0.0,67.13
225,226,POLI,Professor Associado,Em Exercício,Validada,470.07,160.57,188.27,105.56,15.67
226,227,POLI,Professor Adjunto,Em Exercício,Validada,128.78,54.57,16.65,11.03,46.53
227,228,FCM,Professor Adjunto,Em Exercício,Validada,75.24,71.46,0.0,0.0,3.78
229,230,Petrolina,Professor Assistente,Afastamento Total,Validada,6.5,,,,
230,231,Caruaru,Professor Adjunto,Em Exercício,Validada,45.42,29.18,4.17,2.81,9.26
231,232,Garanhuns,Professor Adjunto,Afastamento Total,Validada,6.5,,,,
232,233,POLI,Professor Assistente,Em Exercício,Validada,24.58,18.41,0.0,0.0,6.17
233,234,Reitoria,Professor Associado,Em Exercício,Validada,256.29,70.48,81.39,2.31,102.11
234,235,Mata Norte,Professor Adjunto,Em Exercício,Validada,43.97,22.49,15.2,0.0,6.28
235,236,FCM,Professor Assistente,Em Exercício,Validada,32.96,30.0,1.89,0.0,1.07
236,237,POLI,Professor Auxiliar,Em Exercício,Validada,0.0,10.73,0.53,0.53,3.21
238,239,Petrolina,Professor Adjunto,Em Exercício,Validada,247.9,64.9,81.13,39.55,62.32
239,240,FOP,Professor Associado,Em Exercício,Validada,253.49,121.74,65.56,52.59,13.6
240,241,FENSG,Professor Adjunto,Em Exercício,Validada,332.09,134.92,95.7,60.53,40.94
241,242,FOP,Professor Adjunto,Em Exercício,Validada,193.56,95.7,57.67,37.26,2.93
242,243,Caruaru,Professor Assistente,Em Exercício,Validada,52.13,28.74,1.71,8.73,12.95
243,244,Mata Sul,Professor Adjunto,Afastamento Total,Validada,6.5,,,,
244,245,FOP,Professor Adjunto,Em Exercício,Validada,284.87,130.81,130.19,13.78,10.09
246,247,ICB,Professor Adjunto,Em Exercício,Validada,78.78,25.81,23.2,6.15,23.62
247,248,FCM,Professor Associado,Em Exercício,Validada,255.28,76.85,116.27,10.59,51.57
248,249,ICB,Professor Associado,Em Exercício,Validada,239.63,74.61,125.79,0.0,39.23
249,250,Mata Norte,Professor Assistente,Em Exercício,Validada,56.46,32.41,6.97,16.01,1.07
250,251,FENSG,Professor Auxiliar,Em Exercício,Validada,69.62,65.26,0.0,4.36,0.0
251,252,FENSG,Professor Associado,Afastamento Parcial (2 meses),Validada,240.52,132.69,68.7,2.63,2.14
252,253,Arcoverde,Professor Assistente,Em Exercício,Validada,40.86,34.02,0.0,5.77,1.07
253,254,Garanhuns,Professor Assistente,Afastamento Parcial (6 meses),Validada,40.35,19.22,6.08,0.53,1.07
254,255,FCM,Professor Adjunto,Em Exercício,Validada,154.98,71.65,1.06,1.06,81.21
